요일,날짜,시간,멤버,제목,URL
월,06.15,9AM,choiaeri,♥아침 뉴스♥,
월,06.15,11AM,yeowooyeon,소소한 소통,
월,06.15,12PM,nano,카페유머글,
월,06.15,2PM,nunyo,동요 방송,
월,06.15,2PM,seolhong,기생수 같이보기,
월,06.15,7PM,ruchel,니케 스토리 21지 부터,
화,06.16,9PM,seolhong,후열 롤,
수,06.17,9AM,choiaeri,♥아침 뉴스♥,
수,06.17,4PM,yeowooyeon,콘서트 전 마지막 방송..!!,
수,06.17,7PM,nano,영풍트럭운전,
수,06.17,7PM,ruchel,증명의 날,
목,06.18,9AM,choiaeri,♥아침 뉴스♥,
목,06.18,2PM,seolhong,똥겜핀볼,
목,06.18,6PM,nunyo,소통 스플릿픽션 w.루첼,
목,06.18,7PM,ruchel,눈요랑 스플릿픽션,
목,06.18,8PM,yeowooyeon,여우연 콘서트 FOXLOG : 우리의 기록,
금,06.19,8AM,nano,아침노래방/월드컵응원방,
금,06.19,8AM,ruchel,월드컵 응원,
금,06.19,9AM,choiaeri,♥아침 뉴스♥,
금,06.19,10AM,seolhong,축구월드컵 입중계,
금,06.19,4PM,yeowooyeon,콘서트 후열 회식 주루마블!,
금,06.19,6PM,nunyo,괴식 마추기,
토,06.20,2PM,seolhong,애교데이 리턴즈!,
토,06.20,4PM,yeowooyeon,니케 푹먹 데이,
토,06.20,6PM,nunyo,블루아카이브 스토리,
일,06.21,12PM,nano,레데리2,
일,06.21,2PM,seolhong,너목(木)보 대회 시상,
일,06.21,4PM,yeowooyeon,애교데이,
일,06.21,6PM,nunyo,동화요정,
일,06.21,7PM,ruchel,야랄소통,
